#Times 	                 Airmass 	 Delta Wav 	 FWHM 	        Sky Flux 	      Trace Center 
2457249.7180877021 	 1.0920000000 	 -0.0273885882 	 5.9004563555 	 52.8494431930 	 598.1123460931 
2457249.7191178128 	 1.0900000000 	 -0.0259411573 	 5.9897654687 	 51.8772860006 	 598.0191011987 
2457249.7201479240 	 1.0880000000 	 -0.0232058554 	 6.1051850243 	 52.3221436686 	 598.1335391729 
2457249.7211780348 	 1.0860000000 	 -0.0191166217 	 5.9106838749 	 53.2396860043 	 598.1825506020 
2457249.7222081455 	 1.0840000000 	 -0.0136716657 	 5.6137842017 	 47.9462440762 	 598.0508414631 
2457249.7232382568 	 1.0820000000 	 -0.0069655132 	 6.2062274941 	 50.1144255715 	 598.0500095741 
2457249.7242567930 	 1.0800000000 	 0.0008111030 	 5.9628723660 	 48.6784869507 	 598.1142693421 
2457249.7252869043 	 1.0780000000 	 0.0093976223 	 6.6076534198 	 52.2586363397 	 598.0709669704 
2457249.7263170150 	 1.0770000000 	 0.0185105176 	 6.9420766455 	 55.6541003483 	 598.1234418127 
2457249.7273355518 	 1.0750000000 	 0.0278981864 	 7.0921886989 	 55.2107886544 	 598.2089859088 
2457249.7283656625 	 1.0730000000 	 0.0374030087 	 7.2226161240 	 51.6874940206 	 598.2975378462 
2457249.7293957733 	 1.0710000000 	 0.0470111430 	 6.8529673443 	 52.8754454199 	 598.0860725223 
2457249.7304143100 	 1.0700000000 	 0.0568640661 	 5.9903854633 	 51.7890794469 	 598.2210892003 
2457249.7314444208 	 1.0680000000 	 0.0672067561 	 6.1908136414 	 52.7631092311 	 598.0451274809 
2457249.7324745315 	 1.0670000000 	 0.0782809115 	 6.4081353925 	 52.7287377255 	 598.3219156920 
2457249.7335046427 	 1.0650000000 	 0.0902032149 	 5.8890478504 	 49.1240922862 	 598.1846330597 
2457249.7345231790 	 1.0630000000 	 0.1028764848 	 5.5860913020 	 50.3985578757 	 598.1094058877 
2457249.7355532898 	 1.0620000000 	 0.1159874139 	 6.0256568797 	 46.6230686798 	 598.1339507763 
2457249.7365834010 	 1.0600000000 	 0.1291106382 	 5.6673049047 	 49.4454805715 	 598.1100958933 
2457249.7376135117 	 1.0590000000 	 0.1418812235 	 5.7201504618 	 49.5955211823 	 598.1891259889 
2457249.7386436225 	 1.0580000000 	 0.1541563705 	 5.6448564050 	 46.6927724708 	 598.0688620970 
2457249.7396737332 	 1.0560000000 	 0.1660826332 	 5.6221766401 	 50.5579903030 	 598.1062696250 
2457249.7407038440 	 1.0550000000 	 0.1780342914 	 5.6212389303 	 52.8786941205 	 598.1373701469 
2457249.7417339548 	 1.0540000000 	 0.1904543949 	 5.5374980037 	 48.2347227534 	 598.0497894884 
2457249.7427640655 	 1.0520000000 	 0.2036647644 	 6.1578295071 	 52.7698679076 	 598.1919805799 
2457249.7437826023 	 1.0510000000 	 0.2177239137 	 5.4806434064 	 47.9022979757 	 598.1164377116 
2457249.7448127130 	 1.0500000000 	 0.2323695638 	 5.7164250568 	 51.8188565618 	 598.1151378042 
2457249.7458428238 	 1.0490000000 	 0.2470564609 	 6.0327988730 	 52.3989760448 	 598.0322431250 
2457249.7468613600 	 1.0480000000 	 0.2610685719 	 6.1691665653 	 52.8217213586 	 598.0823289259 
2457249.7478914708 	 1.0460000000 	 0.2736609319 	 6.2868718578 	 52.9493235628 	 598.0460435689 
2457249.7489215815 	 1.0450000000 	 0.2841973338 	 6.0488879204 	 50.9677379309 	 598.2143176438 
2457249.7499401178 	 1.0440000000 	 0.2922508641 	 5.8841041781 	 47.2678744705 	 597.9929748412 
2457249.7509702286 	 1.0430000000 	 0.2976585104 	 5.3763285960 	 48.8694878956 	 597.9661420253 
2457249.7520003393 	 1.0420000000 	 0.3005149181 	 5.4796777681 	 47.7326248594 	 598.0035931115 
2457249.7530304501 	 1.0410000000 	 0.3011093490 	 5.5130932397 	 49.7635612006 	 598.1232331861 
2457249.7540605608 	 1.0400000000 	 0.2998146511 	 5.4250541046 	 51.8430124434 	 598.1551934776 
2457249.7550906716 	 1.0390000000 	 0.2969664905 	 5.6071359959 	 51.9580986605 	 598.0387007299 
2457249.7561207819 	 1.0390000000 	 0.2927852978 	 5.8702273574 	 53.8181788597 	 598.0942814601 
2457249.7571508926 	 1.0380000000 	 0.2873694489 	 5.6888756669 	 49.4322361212 	 597.9935482313 
2457249.7581810034 	 1.0370000000 	 0.2807426586 	 5.4948941684 	 52.0864511887 	 598.0366907816 
2457249.7592111141 	 1.0360000000 	 0.2729140633 	 5.4269410016 	 52.1225707702 	 598.1253361436 
2457249.7602296504 	 1.0350000000 	 0.2639262293 	 5.2892642374 	 46.7306673547 	 597.9975750869 
2457249.7612597612 	 1.0350000000 	 0.2538836205 	 5.5545419884 	 48.6233395566 	 597.8479334871 
2457249.7622898715 	 1.0340000000 	 0.2429789631 	 5.4478620033 	 47.8501193682 	 597.9105542596 
2457249.7633199822 	 1.0330000000 	 0.2315252886 	 5.1747401399 	 52.5532402274 	 598.0676460552 
2457249.7643385185 	 1.0330000000 	 0.2199707845 	 5.3890697054 	 51.6852479765 	 597.8900314936 
2457249.7653686292 	 1.0320000000 	 0.2088751252 	 5.7767650324 	 47.6403442983 	 597.7409495132 
2457249.7663987400 	 1.0320000000 	 0.1988302305 	 5.8964513496 	 50.8180031449 	 597.8341973134 
2457249.7674172763 	 1.0310000000 	 0.1903538265 	 5.8954613656 	 53.9822047768 	 597.9652453160 
2457249.7684473866 	 1.0310000000 	 0.1838028738 	 6.1302814943 	 53.4423401761 	 597.9170671258 
2457249.7694774973 	 1.0300000000 	 0.1793543964 	 6.0236219185 	 49.2016509318 	 597.8507474531 
2457249.7704960336 	 1.0300000000 	 0.1770481994 	 5.6154627468 	 52.1489122924 	 597.8630708456 
2457249.7715261439 	 1.0290000000 	 0.1768877353 	 5.5331620024 	 50.0435729167 	 597.9244283129 
2457249.7725562546 	 1.0290000000 	 0.1789387923 	 5.4101584630 	 49.2143775878 	 597.9148879272 
2457249.7735863654 	 1.0280000000 	 0.1834137226 	 5.1965564376 	 51.8520395385 	 597.8831699806 
2457249.7746164757 	 1.0280000000 	 0.1907018560 	 5.1434295131 	 51.6006921683 	 597.9305948892 
2457249.7756465864 	 1.0280000000 	 0.2013334290 	 5.0801657868 	 50.6613263406 	 597.8175105834 
2457249.7766766967 	 1.0270000000 	 0.2158584010 	 5.2308482944 	 45.8102246670 	 597.7943468362 
2457249.7777068075 	 1.0270000000 	 0.2346480877 	 5.0916244537 	 47.8765795227 	 597.8108433856 
2457249.7787369178 	 1.0270000000 	 0.2576593116 	 4.9773038446 	 45.4529566680 	 597.7433132153 
2457249.7797554540 	 1.0270000000 	 0.2842409185 	 5.1318142957 	 44.9988212516 	 597.7479898570 
2457249.7807855643 	 1.0270000000 	 0.3130754826 	 5.7260717573 	 47.4743091313 	 597.7465744567 
2457249.7818156751 	 1.0270000000 	 0.3423126288 	 5.7126742268 	 47.7557909809 	 597.9429307471 
2457249.7828342109 	 1.0260000000 	 0.3698951142 	 6.0789706411 	 52.3359995160 	 597.7968822290 
2457249.7838643217 	 1.0260000000 	 0.3939898349 	 6.3235721575 	 51.5988068444 	 597.8517607083 
2457249.7848944319 	 1.0260000000 	 0.4133791338 	 5.6356874315 	 50.8342229096 	 597.8727220795 
2457249.7859245422 	 1.0260000000 	 0.4276538833 	 5.9567641552 	 52.5410729777 	 597.8920523433 
2457249.7869430785 	 1.0260000000 	 0.4371451281 	 6.3733171992 	 53.1469394753 	 597.9797532412 
2457249.7879731888 	 1.0260000000 	 0.4426418205 	 5.8791575358 	 51.1193370521 	 598.0421615880 
2457249.7890032995 	 1.0260000000 	 0.4450381428 	 5.8341308859 	 51.5210773780 	 597.9142064218 
2457249.7900218354 	 1.0260000000 	 0.4450574483 	 5.6135149995 	 51.6090667715 	 597.9537400950 
2457249.7910519461 	 1.0270000000 	 0.4431458146 	 5.7660335193 	 48.8810433429 	 597.9956757850 
2457249.7920820564 	 1.0270000000 	 0.4395396461 	 6.4607020818 	 52.9075675378 	 598.0595024054 
2457249.7931121667 	 1.0270000000 	 0.4344497921 	 5.8615802319 	 51.9797215957 	 598.0635313480 
2457249.7941422770 	 1.0270000000 	 0.4282669089 	 5.8549716606 	 47.6035532113 	 598.0435330364 
2457249.7951723873 	 1.0270000000 	 0.4216937435 	 5.2822662858 	 51.8908427424 	 597.9581877338 
2457249.7962024980 	 1.0280000000 	 0.4157348215 	 5.1731552926 	 51.1699879627 	 597.9371306078 
2457249.7972326083 	 1.0280000000 	 0.4115219347 	 5.6301872593 	 52.5670695701 	 597.9471850808 
